Gene description	Gene name
argininosuccinate synthetase 1 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:764]	ASS1P14
zinc finger protein 20 [Source:HGNC Symbol;Acc:HGNC:12992]	ZNF20
methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	MTHFD2
olfactory receptor family 6 subfamily C member 69 pseudogene [Source:HGNC Symbol;Acc:HGNC:31298]	OR6C69P
olfactory receptor family 6 subfamily C member 72 pseudogene [Source:HGNC Symbol;Acc:HGNC:31301]	OR6C72P
methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	MSRB1
olfactory receptor family 6 subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:31293]	OR6C6
olfactory receptor family 6 subfamily C member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:31292]	OR6C5P
acidic nuclear phosphoprotein 32 family member D [Source:HGNC Symbol;Acc:HGNC:16676]	ANP32D
chromosome 12 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:28553]	C12orf54
ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	RPL3L
ribosomal L24 domain containing 1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:37873]	RSL24D1P8
RNA, 5S ribosomal pseudogene 467 [Source:HGNC Symbol;Acc:HGNC:43367]	RNA5SP467
peptidylprolyl isomerase A pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:53660]	PPIAP36
ZNF625-ZNF20 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48368]	ZNF625-ZNF20
coiled-coil domain containing 163 [Source:HGNC Symbol;Acc:HGNC:27003]	CCDC163
novel transcript, antisense to C12orf54	
heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]	HSPA4
ribosomal protein S10 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:35829]	RPS10P20
zinc finger protein 625 [Source:HGNC Symbol;Acc:HGNC:30571]	ZNF625
biorientation of chromosomes in cell division 1 like 2 (BOD1L2) pseudogene	
olfactory receptor family 8 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:19628]	OR8S1
olfactory receptor family 5 subfamily BS member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:19627]	OR5BS1P
lactalbumin alpha [Source:HGNC Symbol;Acc:HGNC:6480]	LALBA
novel transcript, antisense to ZNF606	
SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	SBF2
NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]	NDUFB10
ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]	USP13
neuronal differentiation 4 [Source:HGNC Symbol;Acc:HGNC:13802]	NEUROD4
olfactory receptor family 9 subfamily K member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15338]	OR9K1P
vomeronasal 2 receptor 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:33225]	VN2R19P
heat shock transcription factor 2 (HSF2) pseudogene	
olfactory receptor family 9 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:15339]	OR9K2
ribosomal protein S16 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35659]	RPS16P9
metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]	MMACHC
olfactory receptor family 9 subfamily R member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15340]	OR9R1P
kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]	KLC3
ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	RPS2
long intergenic non-protein coding RNA 2897 [Source:HGNC Symbol;Acc:HGNC:33759]	LINC02897
fibroblast growth factor receptor 3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:37951]	FGFR3P6
SMT3 suppressor of mif two 3 homolog 3 (yeast) (SUMO3) pseudogene	
interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	IL13
peroxisomal biogenesis factor 5 (PEX5) pseudogene	
zinc finger protein 731, pseudogene [Source:HGNC Symbol;Acc:HGNC:32471]	ZNF731P
microRNA 3916 [Source:HGNC Symbol;Acc:HGNC:38912]	MIR3916
RNA, 5S ribosomal pseudogene 82 [Source:HGNC Symbol;Acc:HGNC:42859]	RNA5SP82
vomeronasal 1 receptor 17 pseudogene [Source:HGNC Symbol;Acc:HGNC:37331]	VN1R17P
vomeronasal 1 receptor 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19870]	VN1R5
olfactory receptor family 2 subfamily W member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15424]	OR2W5P
ribosomal protein L13a pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:35709]	RPL13AP20
G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	GPRC5A
germinal center associated signaling and motility like [Source:HGNC Symbol;Acc:HGNC:29583]	GCSAML
ubiquitin specific peptidase 37 [Source:HGNC Symbol;Acc:HGNC:20063]	USP37
microRNA 614 [Source:HGNC Symbol;Acc:HGNC:32870]	MIR614
G protein-coupled receptor class C group 5 member D [Source:HGNC Symbol;Acc:HGNC:13310]	GPRC5D
heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	HEBP1
protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	PPP1R13L
5-hydroxytryptamine receptor 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30411]	HTR7P1
novel transcript, antisense TBCD	
zinc finger protein 750 [Source:HGNC Symbol;Acc:HGNC:25843]	ZNF750
novel transcript, sense intronic TBCD	
Mdm2 p53 binding protein homolog (mouse) (MDM2) pseudogene	
novel transcript, antisense to ANKS1B	
RNA, 5S ribosomal pseudogene 366 [Source:HGNC Symbol;Acc:HGNC:43266]	RNA5SP366
novel transcript, antisense & intronic to ANKS1B	
family with sequence similarity 71 member C [Source:HGNC Symbol;Acc:HGNC:28594]	FAM71C
FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	FER
prostaglandin E synthase 3 like [Source:HGNC Symbol;Acc:HGNC:43943]	PTGES3L
ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]	ARL6IP4
laeverin [Source:HGNC Symbol;Acc:HGNC:26904]	LVRN
small nucleolar RNA, H/ACA box 10 [Source:HGNC Symbol;Acc:HGNC:32598]	SNORA10
olfactory receptor family 2 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:15007]	OR2G2
small nucleolar RNA, H/ACA box 64 [Source:HGNC Symbol;Acc:HGNC:10221]	SNORA64
pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	PDK2
olfactory receptor family 2 subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:15008]	OR2G3
small nucleolar RNA, H/ACA box 78 [Source:HGNC Symbol;Acc:HGNC:32664]	SNORA78
membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	MME
olfactory receptor family 3 subfamily D member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:25339]	OR3D1P
ring finger protein 151 [Source:HGNC Symbol;Acc:HGNC:23235]	RNF151
RNA polymerase I subunit G [Source:HGNC Symbol;Acc:HGNC:24219]	POLR1G
NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	NLRP3
transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]	TBL3
ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	ERCC2
achaete-scute family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:740]	ASCL3
olfactory receptor family 51 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:15196]	OR51F1
novel transcript, antisense to PDK2	
sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	SAMD14
RNA, 5S ribosomal pseudogene 350 [Source:HGNC Symbol;Acc:HGNC:43250]	RNA5SP350
long intergenic non-protein coding RNA 2550 [Source:HGNC Symbol;Acc:HGNC:53585]	LINC02550
ribosomal protein S17 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:35931]	RPS17P15
PEST proteolytic signal containing nuclear protein, pseudogene	
RN7SK pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:45762]	RN7SKP38
chromosome 11 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30527]	C11orf53
diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]	DIAPH1
CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	CNOT9
colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]	COLCA1
protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	PRKAG1
colorectal cancer associated 2 [Source:HGNC Symbol;Acc:HGNC:26978]	COLCA2
NADPH oxidase organizer 1 [Source:HGNC Symbol;Acc:HGNC:19404]	NOXO1
ribosomal protein S2 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:36131]	RPS2P39
adenosine deaminase-like (ADAL) pseudogene	
DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	DDX10
protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	PPP1R9B
RNA, U6 small nuclear 991, pseudogene [Source:HGNC Symbol;Acc:HGNC:47954]	RNU6-991P
CHRM3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:43725]	CHRM3-AS2
novel transcript, antisense to PPP1R9B	
novel transcript, antisense to SGCA	
collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	COL1A1
CHRM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40150]	CHRM3-AS1
hydroxyacyl-thioester dehydratase type 2 [Source:HGNC Symbol;Acc:HGNC:53111]	HTD2
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble) (HMGCS1) pseudogene	
ribosomal protein S7 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37037]	RPS7P5
RNA, U6 small nuclear 136, pseudogene [Source:HGNC Symbol;Acc:HGNC:47099]	RNU6-136P
proteasome 26S non-ATPase subunit 2 (PSMD2) pseudogene	
ADH5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:22991]	ADH5P3
phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]	PLCD4
cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	CHRM3
ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]	RNF26
novel transcript, antisense to RNF26	
C1q and TNF related 5 [Source:HGNC Symbol;Acc:HGNC:14344]	C1QTNF5
long intergenic non-protein coding RNA 2020 [Source:HGNC Symbol;Acc:HGNC:52855]	LINC02020
membrane frizzled-related protein [Source:HGNC Symbol;Acc:HGNC:18121]	MFRP
family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]	FAM102B
folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]	FNIP1
growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	GFER
long intergenic non-protein coding RNA 2052 [Source:HGNC Symbol;Acc:HGNC:27372]	LINC02052
ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]	USP2
synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	SYNGR3
long intergenic non-protein coding RNA 2051 [Source:HGNC Symbol;Acc:HGNC:52891]	LINC02051
crystallin gamma S [Source:HGNC Symbol;Acc:HGNC:2417]	CRYGS
TBCC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25546]	TBCCD1
HEN methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26400]	HENMT1
ZNF649 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51285]	ZNF649-AS1
zinc finger protein 649 [Source:HGNC Symbol;Acc:HGNC:25741]	ZNF649
neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]	NPW
cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	CDKN1B
RNA, 7SL, cytoplasmic 219, pseudogene [Source:HGNC Symbol;Acc:HGNC:46235]	RN7SL219P
SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]	SLC9A3R2
endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	ERP29
PET100 homolog (PET100) pseudogene	
zinc finger protein 613 [Source:HGNC Symbol;Acc:HGNC:25827]	ZNF613
alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	AHSG
BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L
novel transcript, antisense to USP2	
hippocampus abundant transcript 1 (HIAT1) pseudogene	
Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	THY1
zinc finger protein 350 [Source:HGNC Symbol;Acc:HGNC:16656]	ZNF350
fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	FETUB
SUMO2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39017]	SUMO2P7
transmembrane protein 92 [Source:HGNC Symbol;Acc:HGNC:26579]	TMEM92
novel transcript, antisense to ERP29	
N-alpha-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]	NAA25
RN7SK pseudogene 148 [Source:HGNC Symbol;Acc:HGNC:45872]	RN7SKP148
RNA, U6 small nuclear 226, pseudogene [Source:HGNC Symbol;Acc:HGNC:47189]	RNU6-226P
histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	HRH2
basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]	BTF3
dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	DNM2
TMEM92 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50442]	TMEM92-AS1
THY1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54852]	THY1-AS1
double homeobox A pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:32184]	DUXAP5
xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]	XYLT2
coiled-coil domain containing 153 [Source:HGNC Symbol;Acc:HGNC:27446]	CCDC153
pre-mRNA processing factor 38B [Source:HGNC Symbol;Acc:HGNC:25512]	PRPF38B
myeloma overexpressed [Source:HGNC Symbol;Acc:HGNC:7563]	MYEOV
histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	HRG
interferon induced transmembrane protein 9 pseudogene [Source:HGNC Symbol;Acc:HGNC:33972]	IFITM9P
immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]	IRGM
long intergenic non-protein coding RNA 2747 [Source:HGNC Symbol;Acc:HGNC:54266]	LINC02747
long intergenic non-protein coding RNA 1488 [Source:HGNC Symbol;Acc:HGNC:51144]	LINC01488
fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]	FNDC7
cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	CCND1
microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	MAST4
histidine-rich glycoprotein (HRG) pseudogene	
DnaJ heat shock protein family (Hsp40) member C19 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45067]	DNAJC19P4
CNTN4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39985]	CNTN4-AS1
mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]	MRPL27
interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]	IL5RA
nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	NTHL1
novel transcript, antisense to FNDC7	
syntaxin binding protein 3 [Source:HGNC Symbol;Acc:HGNC:11446]	STXBP3
LTO1 maturation factor of ABCE1 [Source:HGNC Symbol;Acc:HGNC:17589]	LTO1
essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]	EME1
microRNA 3657 [Source:HGNC Symbol;Acc:HGNC:38906]	MIR3657
novel transcript, antisense to NAA25	
olfactory receptor family 1 subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:8220]	OR1M1
TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	TRAFD1
olfactory receptor family 7 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:8465]	OR7G1
olfactory receptor family 7 subfamily G member 15 pseudogene [Source:HGNC Symbol;Acc:HGNC:31313]	OR7G15P
olfactory receptor family 7 subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:8467]	OR7G3
zinc finger protein 317 [Source:HGNC Symbol;Acc:HGNC:13507]	ZNF317
leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]	LRRC59
microRNA 1225 [Source:HGNC Symbol;Acc:HGNC:33931]	MIR1225
zinc finger protein 598, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:28079]	ZNF598
fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]	FGF19
novel transcript, antisense to LRRC59	
sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	SGCA
ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25
chromosome 20 open reading frame 147 (C20orf147) pseudogene	
spermatogenesis associated 42 [Source:HGNC Symbol;Acc:HGNC:41198]	SPATA42
DNAJB6 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54758]	DNAJB6P5
fibroblast growth factor 4 [Source:HGNC Symbol;Acc:HGNC:3682]	FGF4
olfactory receptor family 7 subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:8378]	OR7D2
RAN pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39860]	RANP5
SET pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:42935]	SETP16
TMEM167B divergent transcript [Source:HGNC Symbol;Acc:HGNC:55076]	TMEM167B-DT
C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]	CXCR5
transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187]	TMEM167B
elongin C pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:49170]	ELOCP29
olfactory receptor family 7 subfamily E member 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:8387]	OR7E16P
olfactory receptor family 7 subfamily E member 25 pseudogene [Source:HGNC Symbol;Acc:HGNC:8397]	OR7E25P
novel transcript, antisense to CXCR5	
olfactory receptor family 7 subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:8380]	OR7D4
BCL9 like [Source:HGNC Symbol;Acc:HGNC:23688]	BCL9L
small Cajal body-specific RNA 2 [Source:HGNC Symbol;Acc:HGNC:32558]	SCARNA2
small Cajal body-specific RNA 2	
capicua transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:14214]	CIC
poly(rC) binding protein 1 (PCBP1) pseudogene	
olfactory receptor family 14 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15023]	OR14L1P
microRNA 6861 [Source:HGNC Symbol;Acc:HGNC:50129]	MIR6861
RN7SK pseudogene 71 [Source:HGNC Symbol;Acc:HGNC:45795]	RN7SKP71
ribosomal protein L7a pseudogene 60 [Source:HGNC Symbol;Acc:HGNC:35859]	RPL7AP60
DnaJ (Hsp40) homolog, subfamily C, member 2 (DNAJC2) pseudogene	
microRNA 4492 [Source:HGNC Symbol;Acc:HGNC:41563]	MIR4492
HECT domain E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:26611]	HECTD4
uroplakin 2 [Source:HGNC Symbol;Acc:HGNC:12579]	UPK2
death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]	DAP3
serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]	STK36
RNA, 7SL, cytoplasmic 688, pseudogene [Source:HGNC Symbol;Acc:HGNC:46704]	RN7SL688P
TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	TSC2
ribosomal protein L36a pseudogene 47	
TBC1 domain family member 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:27783]	TBC1D3P2
hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	HMBS
ubiquitin specific peptidase 32 (USP32) pseudogene	
EF-hand calcium binding domain 3 [Source:HGNC Symbol;Acc:HGNC:26379]	EFCAB3
drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	DBN1
RNA, U7 small nuclear 52 pseudogene [Source:HGNC Symbol;Acc:HGNC:34148]	RNU7-52P
ribosomal protein S23 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43899]	RPS23P7
tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]	TRNT1
methyltransferase 2A, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25755]	METTL2A
pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	PLEKHF1
mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	MRC2
olfactory receptor family 7 subfamily A member 17 [Source:HGNC Symbol;Acc:HGNC:8363]	OR7A17
olfactory receptor family 7 subfamily A member 18 pseudogene [Source:HGNC Symbol;Acc:HGNC:15399]	OR7A18P
DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	DMPK
tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]	TTLL4
gap junction beta family pseudogene	
IQ motif and Sec7 domain 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49848]	IQSEC3P1
maestro heat-like repeat-containing protein family pseudogene	
novel transcript, antisense to CRBN	
novel transcript, antisense to DAP3	
ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	RHOA
misato family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:26329]	MSTO2P
synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	SYT11
protocadherin gamma subfamily B, 6 [Source:HGNC Symbol;Acc:HGNC:8713]	PCDHGB6
Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	RIT1
multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]	MCTP1
acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]	ACAD9
transmembrane protein 38A (TMEM38A) pseudogene	
NACHT and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27619]	NWD1
RNA, U6 small nuclear 446, pseudogene [Source:HGNC Symbol;Acc:HGNC:47409]	RNU6-446P
novel transcript, antisense to MARCH10	
KH domain containing 4, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:29145]	KHDC4
tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]	TLK2
cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	CYP27A1
novel transcript, antisense to CYP27A1	
protein kinase AMP-activated non-catalytic subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:9387]	PRKAG3
small nucleolar RNA, H/ACA box 80E [Source:HGNC Symbol;Acc:HGNC:32635]	SNORA80E
small Cajal body-specific RNA 4 [Source:HGNC Symbol;Acc:HGNC:32560]	SCARNA4
microRNA 6738 [Source:HGNC Symbol;Acc:HGNC:49939]	MIR6738
ARHGEF2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:55175]	ARHGEF2-AS2
ARHGEF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40082]	ARHGEF2-AS1
Novel transcript, antisense to SSR2	
signal sequence receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:11324]	SSR2
C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	C2CD5
microRNA 9500 [Source:HGNC Symbol;Acc:HGNC:50841]	MIR9500
ribosomal protein L23a pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:35777]	RPL23AP31
novel transcript, sense intronic NWD1	
microRNA 4439 [Source:HGNC Symbol;Acc:HGNC:41622]	MIR4439
disrupted in renal carcinoma 1 [Source:HGNC Symbol;Acc:HGNC:15760]	DIRC1
SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354]	SIN3B
NFU1 iron-sulfur cluster scaffold [Source:HGNC Symbol;Acc:HGNC:16287]	NFU1
pleckstrin homology and RhoGEF domain containing G4B [Source:HGNC Symbol;Acc:HGNC:29399]	PLEKHG4B
jumonji domain containing 4 (JMJD4) pseudogene	
glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	GP9
RAB43, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19983]	RAB43
ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237]	UBQLN4
solute carrier family 22 member 25 [Source:HGNC Symbol;Acc:HGNC:32935]	SLC22A25
phosphodiesterase 6A [Source:HGNC Symbol;Acc:HGNC:8785]	PDE6A
RNA, 7SL, cytoplasmic 604, pseudogene [Source:HGNC Symbol;Acc:HGNC:46620]	RN7SL604P
small nucleolar RNA, H/ACA box 36C [Source:HGNC Symbol;Acc:HGNC:33616]	SNORA36C
ribosomal protein L36a pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36416]	RPL36AP16
beta-1,3-N-acetylgalactosaminyltransferase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51302]	B3GALNT1P1
late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	LAMTOR2
zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]	ZNF142
ISY1-RAB43 readthrough [Source:HGNC Symbol;Acc:HGNC:42969]	ISY1-RAB43
CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	CELF1
RAB25, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18238]	RAB25
novel transcript, antisense to RAB43	
ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	ISY1
PMF1-BGLAP readthrough [Source:HGNC Symbol;Acc:HGNC:42953]	PMF1-BGLAP
novel transcript, sense intronic SIN3B	
F2R like thrombin or trypsin receptor 3 [Source:HGNC Symbol;Acc:HGNC:3540]	F2RL3
MFF pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54540]	MFFP2
solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	SLC26A2
C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]	CPAMD8
calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	CACNB4
solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	SLC22A5
