SYMBOL	DESCRIPTION
STUB1P1	STUB1 pseudogene 1
KRT8P40	Keratin 8 pseudogene 40
MIR4444-1	MicroRNA 4444-1
LINC01564	Long intergenic non-protein coding RNA 1564
KU-MEL-3	Uncharacterized LOC497048
NFE2L2	Nuclear factor, erythroid 2 like 2
C19orf53	Chromosome 19 open reading frame 53
SERPINB9P1	Serpin family B member 9 pseudogene 1
LINC02528	Long intergenic non-protein coding RNA 2528
LINC01012	Long intergenic non-protein coding RNA 1012
TAGAP-AS1	TAGAP antisense RNA 1
DLG1	Discs large MAGUK scaffold protein 1
DNAJC19P5	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 5
MIR3128	MicroRNA 3128
MIR6512	MicroRNA 6512
GRIN2B	Glutamate ionotropic receptor NMDA type subunit 2B
H3P7	H3 histone pseudogene 7
TTC30B	Tetratricopeptide repeat domain 30B
TTC30A	Tetratricopeptide repeat domain 30A
DPP4	Dipeptidyl peptidase 4
LINC01600	Long intergenic non-protein coding RNA 1600
CCL25	C-C motif chemokine ligand 25
PACRG-AS1	PACRG antisense RNA 1
SLC35F3-AS1	SLC35F3 antisense RNA 1
LINC02532	Long intergenic non-protein coding RNA 2532
RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit
ACSBG2	Acyl-CoA synthetase bubblegum family member 2
LLPH	LLP homolog, long-term synaptic facilitation factor
SLC22A31	Solute carrier family 22 member 31
LLPH-DT	LLPH divergent transcript
IRAK3	Interleukin 1 receptor associated kinase 3
NPIPB8	Nuclear pore complex interacting protein family member B8
SRA1	Steroid receptor RNA activator 1
MYBPC3	Myosin binding protein C3
XPR1	Xenotropic and polytropic retrovirus receptor 1
BANP	BTG3 associated nuclear protein
RPS26P18	Ribosomal protein S26 pseudogene 18
RBMS1P1	RNA binding motif single stranded interacting protein 1 pseudogene 1
JADE2	Jade family PHD finger 2
MIR6502	MicroRNA 6502
LINC01804	Long intergenic non-protein coding RNA 1804
PDCL3P7	PDCL3 pseudogene 7
RN7SKP166	RN7SK pseudogene 166
RPL21P35	Ribosomal protein L21 pseudogene 35
HELB	DNA helicase B
RPL23AP26	Ribosomal protein L23a pseudogene 26
TEX44	Testis expressed 44
RN7SL499P	RNA, 7SL, cytoplasmic 499, pseudogene
DDX1	DEAD-box helicase 1
GMDS-DT	GMDS divergent transcript
SNRPGP10	Small nuclear ribonucleoprotein polypeptide G pseudogene 10
LINC01699	Long intergenic non-protein coding RNA 1699
RPSAP20	Ribosomal protein SA pseudogene 20
CHCHD4P5	Coiled-coil-helix-coiled-coil-helix domain containing 4 pseudogene 5
GRIP1	Glutamate receptor interacting protein 1
KIF14	Kinesin family member 14
WDR55	WD repeat domain 55
MYO7A	Myosin VIIA
RPS7P3	Ribosomal protein S7 pseudogene 3
STYXL2	Serine/threonine/tyrosine interacting like 2
HMHB1	Histocompatibility minor HB-1
CCDC192	Coiled-coil domain containing 192
IL31RA	Interleukin 31 receptor A
RN7SL663P	RNA, 7SL, cytoplasmic 663, pseudogene
SPINT2	Serine peptidase inhibitor, Kunitz type 2
COLGALT2	Collagen beta(1-O)galactosyltransferase 2
ILRUN-AS1	ILRUN antisense RNA 1
LYPD8	LY6/PLAUR domain containing 8
AFDN-DT	AFDN divergent transcript
GAPDHP29	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 29
PPP1R14A	Protein phosphatase 1 regulatory inhibitor subunit 14A
PCNX2	Pecanex 2
UFL1-AS1	UFL1 antisense RNA 1
NOMO2	NODAL modulator 2
SCAT8	S-phase cancer associated transcript 8
YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein
IER3-AS1	IER3 antisense RNA 1
HPAT5	Human pluripotency-associated transcript 5
TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1
ZSCAN16-AS1	ZSCAN16 antisense RNA 1
OR2Y1	Olfactory receptor family 2 subfamily Y member 1
GPR151	G protein-coupled receptor 151
HMGN3-AS1	HMGN3 antisense RNA 1
TCERG1	Transcription elongation regulator 1
OSBPL9P5	Oxysterol binding protein like 9 pseudogene 5
LINC00243	Long intergenic non-protein coding RNA 243
OSBPL9P4	Oxysterol binding protein like 9 pseudogene 4
CNIH3	Cornichon family AMPA receptor auxiliary protein 3
RAB11AP2	RAB11A, member RAS oncogene family pseudogene 2
SLC11A2	Solute carrier family 11 member 2
CASC15	Cancer susceptibility 15
MOB2	MOB kinase activator 2
PDIA3P1	Protein disulfide isomerase family A member 3 pseudogene 1
UBE2V1P13	UBE2V1 pseudogene 13
HPX	Hemopexin
MYLPF	Myosin light chain, phosphorylatable, fast skeletal muscle
CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2
CMTR2	Cap methyltransferase 2
C19orf33	Chromosome 19 open reading frame 33
PCDHGA1	Protocadherin gamma subfamily A, 1
PCDHGA2	Protocadherin gamma subfamily A, 2
FUT1	Fucosyltransferase 1 (H blood group)
HNRNPA1P54	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 54
TRMT1	TRNA methyltransferase 1
SLC35F3	Solute carrier family 35 member F3
PCDHGA3	Protocadherin gamma subfamily A, 3
DPY19L4P1	DPY19L4 pseudogene 1
PCDHGB1	Protocadherin gamma subfamily B, 1
LYST-AS1	LYST antisense RNA 1
ZNF281	Zinc finger protein 281
PCDHGA4	Protocadherin gamma subfamily A, 4
VDAC1P4	Voltage dependent anion channel 1 pseudogene 4
PCDHGB2	Protocadherin gamma subfamily B, 2
MAEL	Maelstrom spermatogenic transposon silencer
PCDHGA5	Protocadherin gamma subfamily A, 5
PCDHGB3	Protocadherin gamma subfamily B, 3
ZNF23	Zinc finger protein 23
PCDHGA6	Protocadherin gamma subfamily A, 6
PCDHGA7	Protocadherin gamma subfamily A, 7
TRDN-AS1	TRDN antisense RNA 1
PCDHGB4	Protocadherin gamma subfamily B, 4
PCDHGA8	Protocadherin gamma subfamily A, 8
NCL	Nucleolin
PCDHGA9	Protocadherin gamma subfamily A, 9
RN7SKP127	RN7SK pseudogene 127
PCDHGA10	Protocadherin gamma subfamily A, 10
C16orf54	Chromosome 16 open reading frame 54
PCDHGB7	Protocadherin gamma subfamily B, 7
ZG16	Zymogen granule protein 16
CLIP3	CAP-Gly domain containing linker protein 3
PCDHGA11	Protocadherin gamma subfamily A, 11
PRRT2	Proline rich transmembrane protein 2
PCDHGB8P	Protocadherin gamma subfamily B, 8 pseudogene
PCDHGA12	Protocadherin gamma subfamily A, 12
RABGAP1L-AS1	RABGAP1L antisense RNA 1
PCDHGB9P	Protocadherin gamma subfamily B, 9 pseudogene
PCDHGC3	Protocadherin gamma subfamily C, 3
ARID4B	AT-rich interaction domain 4B
THAP8	THAP domain containing 8
RDH16	Retinol dehydrogenase 16
PAGR1	PAXIP1 associated glutamate rich protein 1
DNAJC14	DnaJ heat shock protein family (Hsp40) member C14
POLR2I	RNA polymerase II subunit I
MVP	Major vault protein
ACTR6	Actin related protein 6
TBCB	Tubulin folding cofactor B
RN7SL68P	RNA, 7SL, cytoplasmic 68, pseudogene
PCDHGC4	Protocadherin gamma subfamily C, 4
HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3
NAT10	N-acetyltransferase 10
PCDHGC5	Protocadherin gamma subfamily C, 5
DIAPH1-AS1	DIAPH1 antisense RNA 1
RPS27AP10	RPS27A pseudogene 10
KIF22	Kinesin family member 22
HDAC3	Histone deacetylase 3
CAPNS1	Calpain small subunit 1
CLIP1	CAP-Gly domain containing linker protein 1
RELL2	RELT like 2
ARL16	ADP ribosylation factor like GTPase 16
TMEM78	Transmembrane protein 78
SH3BP5L	SH3 binding domain protein 5 like
CNTN5	Contactin 5
WNT2B	Wnt family member 2B
PCDHGB5	Protocadherin gamma subfamily B, 5
EXOC3-AS1	EXOC3 antisense RNA 1
RNF157	Ring finger protein 157
AHRR	Aryl-hydrocarbon receptor repressor
RABGAP1L-DT	RABGAP1L divergent transcript
SETP10	SET pseudogene 10
MAPK8IP3	Mitogen-activated protein kinase 8 interacting protein 3
LDHAP2	Lactate dehydrogenase A pseudogene 2
GEMIN8P4	Gem nuclear organelle associated protein 8 pseudogene 4
NUCKS1	Nuclear casein kinase and cyclin dependent kinase substrate 1
PAM	Peptidylglycine alpha-amidating monooxygenase
ZNF468	Zinc finger protein 468
MIR4786	MicroRNA 4786
OR9S24P	Olfactory receptor family 9 subfamily S member 24 pseudogene
OR5S1P	Olfactory receptor family 5 subfamily S member 1 pseudogene
COPS9	COP9 signalosome subunit 9
ARHGEF18-AS1	ARHGEF18 antisense RNA 1
ATP5MGP6	ATP synthase membrane subunit g pseudogene 6
ATF4P3	Activating transcription factor 4 pseudogene 3
MAP3K21	Mitogen-activated protein kinase kinase kinase 21
UBALD2	UBA like domain containing 2
OTOS	Otospiralin
WDR62	WD repeat domain 62
KDM6B	Lysine demethylase 6B
NAV2	Neuron navigator 2
FYB2	FYN binding protein 2
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10
TIMM17A	Translocase of inner mitochondrial membrane 17A
ZNF131	Zinc finger protein 131
CDC7	Cell division cycle 7
TEX50	Testis expressed 50
COX20	Cytochrome c oxidase assembly factor COX20
KRT41P	Keratin 41 pseudogene
NDUFAF4P4	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 4
FAM20A	FAM20A golgi associated secretory pathway pseudokinase
RABGAP1L-IT1	RABGAP1L intronic transcript 1
LINC01691	Long intergenic non-protein coding RNA 1691
C5orf63	Chromosome 5 open reading frame 63
POPDC2	Popeye domain containing 2
TSEN15P2	TRNA splicing endonuclease subunit 15 pseudogene 2
LINC01363	Long intergenic non-protein coding RNA 1363
CRISPLD2	Cysteine rich secretory protein LCCL domain containing 2
ARHGEF28	Rho guanine nucleotide exchange factor 28
GPR52	G protein-coupled receptor 52
ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
RPL10P4	Ribosomal protein L10 pseudogene 4
CD47	CD47 molecule
FEN1P1	Flap structure-specific endonuclease 1 pseudogene 1
SMYD3	SET and MYND domain containing 3
COX17	Cytochrome c oxidase copper chaperone COX17
ZNF140	Zinc finger protein 140
CACNA2D2	Calcium voltage-gated channel auxiliary subunit alpha2delta 2
ARSG	Arylsulfatase G
LINC02176	Long intergenic non-protein coding RNA 2176
ZDHHC7	Zinc finger DHHC-type palmitoyltransferase 7
NUAK1	NUAK family kinase 1
CIBAR2	CBY1 interacting BAR domain containing 2
KLHL20	Kelch like family member 20
TBC1D15	TBC1 domain family member 15
AMZ2	Archaelysin family metallopeptidase 2
LINC02139	Long intergenic non-protein coding RNA 2139
COX6CP16	Cytochrome c oxidase subunit 6C pseudogene 16
LINC00311	Long intergenic non-protein coding RNA 311
MIR5093	MicroRNA 5093
KIAA0513	KIAA0513
EIF4A1P11	Eukaryotic translation initiation factor 4A1 pseudogene 11
HAX1	HCLS1 associated protein X-1
CDR2	Cerebellar degeneration related protein 2
CDR2-DT	CDR2 divergent transcript
MFSD13B	Major facilitator superfamily domain containing 13B (pseudogene)
RRN3P3	RRN3 pseudogene 3
OTOAP1	OTOA pseudogene 1
NTPCR	Nucleoside-triphosphatase, cancer-related
LINC02890	Long intergenic non-protein coding RNA 2890
NPIPB5	Nuclear pore complex interacting protein family member B5
HMGB3P6	High mobility group box 3 pseudogene 6
ABHD17AP3	ABHD17A pseudogene 3
RAB29	RAB29, member RAS oncogene family
TMEM94	Transmembrane protein 94
NUCB2	Nucleobindin 2
DMXL1	Dmx like 1
C8A	Complement C8 alpha chain
LINC01681	Long intergenic non-protein coding RNA 1681
ERI2	ERI1 exoribonuclease family member 2
PANX1	Pannexin 1
H1-7	H1.7 linker histone
ARPC3P3	Actin related protein 2/3 complex subunit 3 pseudogene 3
GPR83	G protein-coupled receptor 83
OVAAL	Ovarian adenocarcinoma amplified long non-coding RNA
ZDHHC17	Zinc finger DHHC-type palmitoyltransferase 17
KCTD3	Potassium channel tetramerization domain containing 3
DPP3	Dipeptidyl peptidase 3
DCUN1D3	Defective in cullin neddylation 1 domain containing 3
LYRM1	LYR motif containing 1
BMP8B-AS1	BMP8B antisense RNA 1
DNAH3	Dynein axonemal heavy chain 3
LINC01682	Long intergenic non-protein coding RNA 1682
HOXC5	Homeobox C5
SIRT4	Sirtuin 4
ZC3H12A	Zinc finger CCCH-type containing 12A
PRKRA	Protein activator of interferon induced protein kinase EIF2AK2
OR2AP1	Olfactory receptor family 2 subfamily AP member 1
OR6C2	Olfactory receptor family 6 subfamily C member 2
CLEC4A	C-type lectin domain family 4 member A
RAD1P2	RAD1 pseudogene 2
ZNF300	Zinc finger protein 300
MIR6785	MicroRNA 6785
CASKIN2	CASK interacting protein 2
FAT2	FAT atypical cadherin 2
ARIH2	Ariadne RBR E3 ubiquitin protein ligase 2
PHLDA1	Pleckstrin homology like domain family A member 1
GLT8D2	Glycosyltransferase 8 domain containing 2
SLC25A48	Solute carrier family 25 member 48
SRCAP	Snf2 related CREBBP activator protein
CD244	CD244 molecule
TSEN54	TRNA splicing endonuclease subunit 54
C11orf91	Chromosome 11 open reading frame 91
LIN7A	Lin-7 homolog A, crumbs cell polarity complex component
CD59	CD59 molecule (CD59 blood group)
KIAA0825	KIAA0825
PJVK	Pejvakin
C12orf71	Chromosome 12 open reading frame 71
FIGNL2	Fidgetin like 2
ZNF891	Zinc finger protein 891
PRELID2	PRELI domain containing 2
LLGL2	LLGL scribble cell polarity complex component 2
LMBR1L	Limb development membrane protein 1 like
LMF1-AS1	LMF1 antisense RNA 1
CEROX1	Cytoplasmic endogenous regulator of oxidative phosphorylation 1
CR2	Complement C3d receptor 2
NUDCP2	Nuclear distribution C pseudogene 2
SOX8	SRY-box transcription factor 8
PLEKHA3	Pleckstrin homology domain containing A3
TENT2	Terminal nucleotidyltransferase 2
SNRPG	Small nuclear ribonucleoprotein polypeptide G
FBXO3	F-box protein 3
PRMT7	Protein arginine methyltransferase 7
FAM136A	Family with sequence similarity 136 member A
RBM34	RNA binding motif protein 34
ANAPC13	Anaphase promoting complex subunit 13
BRD7P6	Bromodomain containing 7 pseudogene 6
TGFA-IT1	TGFA intronic transcript 1
RPL23AP23	Ribosomal protein L23a pseudogene 23
KCNK1	Potassium two pore domain channel subfamily K member 1
PSMD1	Proteasome 26S subunit, non-ATPase 1
AMOTL2	Angiomotin like 2
TEDDM1	Transmembrane epididymal protein 1
NMNAT1P2	NMNAT1 pseudogene 2
CLCA2	Chloride channel accessory 2
RILPL2	Rab interacting lysosomal protein like 2
PLEKHA5	Pleckstrin homology domain containing A5
FBXO3-DT	FBXO3 divergent transcript
LINC02722	Long intergenic non-protein coding RNA 2722
LINC02721	Long intergenic non-protein coding RNA 2721
OR5B12	Olfactory receptor family 5 subfamily B member 12
LINC00272	Long intergenic non-protein coding RNA 272
OR51V1	Olfactory receptor family 51 subfamily V member 1
VDAC1P10	Voltage dependent anion channel 1 pseudogene 10
LINC02786	Long intergenic non-protein coding RNA 2786
PFN1P8	Profilin 1 pseudogene 8
LINC00582	Long intergenic non-protein coding RNA 582
AMPD3	Adenosine monophosphate deaminase 3
ABCC11	ATP binding cassette subfamily C member 11
C5orf38	Chromosome 5 open reading frame 38
SLC41A3	Solute carrier family 41 member 3
LINC01962	Long intergenic non-protein coding RNA 1962
HNRNPU	Heterogeneous nuclear ribonucleoprotein U
TRIM7	Tripartite motif containing 7
RPAIN	RPA interacting protein
RNU6-1307P	RNA, U6 small nuclear 1307, pseudogene
TRIM7-AS1	TRIM7 antisense RNA 1
TRIM41	Tripartite motif containing 41
BET1L	Bet1 golgi vesicular membrane trafficking protein like
MIR4638	MicroRNA 4638
GAS2	Growth arrest specific 2
IRX5	Iroquois homeobox 5
RACK1	Receptor for activated C kinase 1
RHOT1	Ras homolog family member T1
WNK1	WNK lysine deficient protein kinase 1
MTSS2	MTSS I-BAR domain containing 2
TMEM108	Transmembrane protein 108
H2AX	H2A.X variant histone
APLNR	Apelin receptor
HTR3B	5-hydroxytryptamine receptor 3B
SLC12A8	Solute carrier family 12 member 8
ZSCAN32	Zinc finger and SCAN domain containing 32
IFITM2	Interferon induced transmembrane protein 2
ANAPC15	Anaphase promoting complex subunit 15
MIR4752	MicroRNA 4752
ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18
APOBR	Apolipoprotein B receptor
NPIPB4	Nuclear pore complex interacting protein family member B4
CYP2A7	Cytochrome P450 family 2 subfamily A member 7
OPA1	OPA1 mitochondrial dynamin like GTPase
MARCHF2	Membrane associated ring-CH-type finger 2
TBX6	T-box transcription factor 6
ZNF573	Zinc finger protein 573
VPS35L	VPS35 endosomal protein sorting factor like
AAMDC	Adipogenesis associated Mth938 domain containing
SNORD96A	Small nucleolar RNA, C/D box 96A
SNORD95	Small nucleolar RNA, C/D box 95
RNU6-705P	RNA, U6 small nuclear 705, pseudogene
TRIM52	Tripartite motif containing 52
DNM1L	Dynamin 1 like
LINC02900	Long intergenic non-protein coding RNA 2900
MACROH2A1	MacroH2A.1 histone
LRRC51	Leucine rich repeat containing 51
MKNK2	MAPK interacting serine/threonine kinase 2
ZP1	Zona pellucida glycoprotein 1
LSR	Lipolysis stimulated lipoprotein receptor
BBS5	Bardet-Biedl syndrome 5
GAPDHP24	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 24
LINC01677	Long intergenic non-protein coding RNA 1677
HMCN1	Hemicentin 1
STAT5A	Signal transducer and activator of transcription 5A
KLHL41	Kelch like family member 41
FASTKD1	FAST kinase domains 1
DCANP1	Dendritic cell associated nuclear protein
TIFAB	TIFA inhibitor
PDCD6	Programmed cell death 6
RTBDN	Retbindin
LINC01350	Long intergenic non-protein coding RNA 1350
PPIG	Peptidylprolyl isomerase G
SNX20	Sorting nexin 20
PDC-AS1	PDC antisense RNA 1
PDC	Phosducin
MIR6859-2	MicroRNA 6859-2
MIR6808	MicroRNA 6808
RNU1-8P	RNA, U1 small nuclear 8, pseudogene
MIR4689	MicroRNA 4689
RN7SL451P	RNA, 7SL, cytoplasmic 451, pseudogene
RN7SKP269	RN7SK pseudogene 269
MIR5697	MicroRNA 5697
RNU6-291P	RNA, U6 small nuclear 291, pseudogene
MIR4252	MicroRNA 4252
RN7SL614P	RNA, 7SL, cytoplasmic 614, pseudogene
RNU6-304P	RNA, U6 small nuclear 304, pseudogene
MIR6728	MicroRNA 6728
SNORA59A	Small nucleolar RNA, H/ACA box 59A
RNU6-1265P	RNA, U6 small nuclear 1265, pseudogene
MIR6726	MicroRNA 6726
MIR551A	MicroRNA 551a
FGFR4	Fibroblast growth factor receptor 4
RNU7-179P	RNA, U7 small nuclear 179 pseudogene
RNU1-7P	RNA, U1 small nuclear 7, pseudogene
RNU6ATAC18P	RNA, U6atac small nuclear 18, pseudogene
MIR6730	MicroRNA 6730
MIR6727	MicroRNA 6727
MIR4253	MicroRNA 4253
RNU4-28P	RNA, U4 small nuclear 28, pseudogene
RNU6-1208P	RNA, U6 small nuclear 1208, pseudogene
RNA5SP40	RNA, 5S ribosomal pseudogene 40
HPN	Hepsin
MIR4695	MicroRNA 4695
MIR1290	MicroRNA 1290
MIR34A	MicroRNA 34a
MIR6731	MicroRNA 6731
RNU6-110P	RNA, U6 small nuclear 110, pseudogene
RN7SKP91	RN7SK pseudogene 91
RNU6-48P	RNA, U6 small nuclear 48, pseudogene
RN7SL371P	RNA, 7SL, cytoplasmic 371, pseudogene
SCARNA21B	Small Cajal body-specific RNA 21B
MIR4425	MicroRNA 4425
RNU6-176P	RNA, U6 small nuclear 176, pseudogene
MIR552	MicroRNA 552
MIR4420	MicroRNA 4420
RNU6-584P	RNA, U6 small nuclear 584, pseudogene
RNU6-605P	RNA, U6 small nuclear 605, pseudogene
MIR4255	MicroRNA 4255
RNU6-636P	RNA, U6 small nuclear 636, pseudogene
RNA5SP43	RNA, 5S ribosomal pseudogene 43
MIR3659	MicroRNA 3659
RNU6-510P	RNA, U6 small nuclear 510, pseudogene
RNU6-753P	RNA, U6 small nuclear 753, pseudogene
RN7SL290P	RNA, 7SL, cytoplasmic 290, pseudogene
RNA5SP46	RNA, 5S ribosomal pseudogene 46
MIR6732	MicroRNA 6732
MIR6733	MicroRNA 6733
RNU2-30P	RNA, U2 small nuclear 30, pseudogene
RNU6-969P	RNA, U6 small nuclear 969, pseudogene
RNU6-1237P	RNA, U6 small nuclear 1237, pseudogene
RNU6-1026P	RNA, U6 small nuclear 1026, pseudogene
MIR6079	MicroRNA 6079
MIR5581	MicroRNA 5581
RNU6-40P	RNA, U6 small nuclear 40, pseudogene
MIR4422	MicroRNA 4422
RNU7-62P	RNA, U7 small nuclear 62 pseudogene
RNU6-414P	RNA, U6 small nuclear 414, pseudogene
RNU6-1177P	RNA, U6 small nuclear 1177, pseudogene
RN7SL180P	RNA, 7SL, cytoplasmic 180, pseudogene
MIR3116-1	MicroRNA 3116-1
MIR3116-2	MicroRNA 3116-2
RN7SL713P	RNA, 7SL, cytoplasmic 713, pseudogene
RN7SL122P	RNA, 7SL, cytoplasmic 122, pseudogene
RNU6-161P	RNA, U6 small nuclear 161, pseudogene
RN7SKP19	RN7SK pseudogene 19
RNU6-371P	RNA, U6 small nuclear 371, pseudogene
RNU2-15P	RNA, U2 small nuclear 15, pseudogene
RNU7-80P	RNA, U7 small nuclear 80 pseudogene
RNU6-622P	RNA, U6 small nuclear 622, pseudogene
RNU4-88P	RNA, U4 small nuclear 88, pseudogene
RNA5SP23	RNA, 5S ribosomal pseudogene 23
MIR7156	MicroRNA 7156
RN7SL62P	RNA, 7SL, cytoplasmic 62, pseudogene
RNU6-503P	RNA, U6 small nuclear 503, pseudogene
RNA5SP20	RNA, 5S ribosomal pseudogene 20
RN7SL854P	RNA, 7SL, cytoplasmic 854, pseudogene
RNA5SP21	RNA, 5S ribosomal pseudogene 21
MIR4781	MicroRNA 4781
RNU6-1102P	RNA, U6 small nuclear 1102, pseudogene
RNU7-8P	RNA, U7 small nuclear 8 pseudogene
RN7SL370P	RNA, 7SL, cytoplasmic 370, pseudogene
RNA5SP22	RNA, 5S ribosomal pseudogene 22
BCL2L12	BCL2 like 12
RNA5SP52	RNA, 5S ribosomal pseudogene 52
MIR4423	MicroRNA 4423
SNORD3G	Small nucleolar RNA, C/D box 3G
MAZ	MYC associated zinc finger protein
MIR6068	MicroRNA 6068
RNA5SP50	RNA, 5S ribosomal pseudogene 50
RN7SL392P	RNA, 7SL, cytoplasmic 392, pseudogene
RNU6-1246P	RNA, U6 small nuclear 1246, pseudogene
RNA5SP51	RNA, 5S ribosomal pseudogene 51
MIR2682	MicroRNA 2682
RNA5SP48	RNA, 5S ribosomal pseudogene 48
RN7SL440P	RNA, 7SL, cytoplasmic 440, pseudogene
RN7SL488P	RNA, 7SL, cytoplasmic 488, pseudogene
